CreditScore,Age,Balance,NumOfProducts,IsActiveMember,Exited,ZeroBalance,ProductActivity,BalanceSalaryRatio,TenureAgeRatio,Gender_Encoded,Geography_Germany,Geography_Spain
619,42,0.0,1,1,1,1,1,0.0,0.05952380952380952,0,0.0,0.0
608,41,83807.86,1,1,0,0,1,0.7446702868346644,0.036585365853658534,0,0.0,1.0
502,42,159660.8,3,0,1,0,0,1.401362226797833,0.20238095238095238,0,0.0,0.0
699,39,0.0,2,0,0,1,0,0.0,0.038461538461538464,0,0.0,0.0
850,43,125510.82,1,1,0,0,1,1.5870349787760274,0.05813953488372093,0,0.0,1.0
645,44,113755.78,2,0,1,0,0,0.7595988213227887,0.19318181818181818,1,0.0,1.0
822,50,0.0,2,1,0,1,2,0.0,0.15,1,0.0,0.0
376,29,115046.74,4,0,1,0,0,0.9639613204692031,0.15517241379310345,0,1.0,0.0
501,44,142051.07,2,1,0,0,2,1.8954927510124564,0.10227272727272728,1,0.0,0.0
684,27,134603.88,1,1,0,0,1,1.8766208915421072,0.09259259259259259,1,0.0,0.0
528,31,102016.72,2,0,0,0,0,1.2723125804106952,0.20967741935483872,1,0.0,0.0
497,24,0.0,2,0,0,1,0,0.0,0.14583333333333334,1,0.0,1.0
476,34,0.0,2,0,0,1,0,0.0,0.3088235294117647,0,0.0,0.0
549,25,0.0,2,0,0,1,0,0.0,0.22,0,0.0,0.0
635,35,0.0,2,1,0,1,2,0.0,0.21428571428571427,0,0.0,1.0
616,45,143129.41,2,1,0,0,2,2.224984944408569,0.07777777777777778,1,1.0,0.0
653,58,132602.88,1,0,1,0,0,26.00734701402523,0.02586206896551724,1,1.0,0.0
549,24,0.0,2,1,0,1,2,0.0,0.3958333333333333,0,0.0,1.0
587,45,0.0,1,0,0,1,0,0.0,0.14444444444444443,1,0.0,1.0
726,24,0.0,2,1,0,1,2,0.0,0.2708333333333333,0,0.0,0.0
732,41,0.0,2,1,0,1,2,0.0,0.2073170731707317,1,0.0,0.0
636,32,0.0,2,0,0,1,0,0.0,0.265625,0,0.0,1.0
510,38,0.0,1,0,1,1,0,0.0,0.11842105263157894,0,0.0,1.0
669,46,0.0,2,1,0,1,2,0.0,0.07608695652173914,1,0.0,0.0
846,38,0.0,1,1,0,1,1,0.0,0.14473684210526316,0,0.0,0.0
577,25,0.0,2,1,0,1,2,0.0,0.14,1,0.0,0.0
756,36,136815.64,1,1,0,0,1,0.8045946038927224,0.06944444444444445,1,1.0,0.0
571,44,0.0,2,0,0,1,0,0.0,0.2159090909090909,1,0.0,0.0
574,43,141349.43,1,1,0,0,1,1.4108358619852612,0.08139534883720931,0,1.0,0.0
411,29,59697.17,2,1,0,0,2,1.116164378234249,0.017241379310344827,1,0.0,0.0
591,39,0.0,3,0,1,1,0,0.0,0.08974358974358974,0,0.0,1.0
533,36,85311.7,1,1,0,0,1,0.5443126143705237,0.20833333333333334,1,0.0,0.0
553,41,110112.54,2,0,0,0,0,1.3444785769344276,0.23170731707317074,1,1.0,0.0
520,42,0.0,2,1,0,1,2,0.0,0.15476190476190477,0,0.0,1.0
722,29,0.0,2,1,0,1,2,0.0,0.3275862068965517,0,0.0,1.0
475,45,134264.04,1,0,1,0,0,4.825477582474692,0.011111111111111112,0,0.0,0.0
490,31,145260.23,1,1,0,0,1,1.2734555080720873,0.11290322580645161,1,0.0,1.0
804,33,76548.6,1,1,0,0,1,0.7775026928696469,0.22727272727272727,1,0.0,1.0
850,36,0.0,1,1,0,1,1,0.0,0.20833333333333334,1,0.0,0.0
582,41,70349.48,2,1,0,0,2,0.3950552531112726,0.15853658536585366,1,1.0,0.0
472,40,0.0,1,0,0,1,0,0.0,0.1125,1,0.0,1.0
465,51,122522.32,1,0,1,0,0,0.6758038187267252,0.16666666666666666,0,0.0,0.0
556,61,117419.35,1,1,0,0,1,1.2470879082889321,0.040983606557377046,0,0.0,0.0
834,49,131394.56,1,0,1,0,0,0.6760135323550178,0.05102040816326531,0,0.0,0.0
660,61,155931.11,1,1,0,0,1,0.9847903923338341,0.09016393442622951,0,0.0,1.0
776,32,109421.13,2,1,0,0,2,0.8648629614998475,0.140625,0,1.0,0.0
829,27,112045.67,1,1,1,0,1,0.9359820351333034,0.35185185185185186,0,1.0,0.0
637,39,137843.8,1,1,1,0,1,1.171903985417917,0.24358974358974358,0,1.0,0.0
550,38,103391.38,1,1,0,0,1,1.137680125238875,0.06578947368421052,1,1.0,0.0
776,37,103769.22,2,0,0,0,0,0.5346169801440618,0.06756756756756757,0,1.0,0.0
698,44,116363.37,2,0,0,0,0,0.5875152781861834,0.23863636363636365,1,1.0,0.0
585,36,146050.97,2,0,0,0,0,1.6899046196629075,0.1527777777777778,1,1.0,0.0
788,33,0.0,2,0,0,1,0,0.0,0.16666666666666666,0,0.0,0.0
655,41,125561.97,1,0,1,0,0,0.76542602458859,0.2073170731707317,1,1.0,0.0
601,42,98495.72,1,0,1,0,0,2.4614231992594915,0.03571428571428571,1,1.0,0.0
619,43,125211.92,1,1,0,0,1,1.1040496866763676,0.03488372093023256,1,0.0,0.0
656,45,127864.4,1,0,0,0,0,1.4678739416799058,0.12222222222222222,1,0.0,0.0
725,19,75888.2,1,0,0,0,0,1.6636767712198357,0.02631578947368421,1,1.0,0.0
511,66,0.0,1,0,1,1,0,0.0,0.06818181818181818,0,0.0,1.0
614,51,40685.92,1,1,0,0,1,0.8697981113504537,0.08823529411764706,1,0.0,0.0
742,35,136857.0,1,0,0,0,0,1.6194068978590488,0.15714285714285714,1,1.0,0.0
687,27,152328.88,2,0,0,0,0,1.2042206612044573,0.35185185185185186,0,1.0,0.0
555,33,56084.69,2,0,0,0,0,0.3136742891310489,0.045454545454545456,1,0.0,1.0
684,56,78707.16,1,1,0,0,1,0.7918276334978415,0.15178571428571427,1,0.0,1.0
603,26,109166.37,1,1,0,0,1,1.1758337608532892,0.17307692307692307,1,1.0,0.0
751,36,169831.46,2,1,0,0,2,6.117989031447411,0.18055555555555555,0,1.0,0.0
581,34,101633.04,1,0,0,0,0,0.9203181200898177,0.04411764705882353,0,1.0,0.0
735,43,123180.01,2,1,0,0,2,0.6263147880851527,0.2441860465116279,1,1.0,0.0
661,35,150725.53,2,1,0,0,2,1.3261339185986714,0.15714285714285714,0,1.0,0.0
675,21,98373.26,1,0,0,0,0,5.403936497473082,0.40476190476190477,0,0.0,0.0
738,58,133745.44,4,0,1,0,0,4.713518938948069,0.04310344827586207,1,1.0,0.0
813,29,0.0,1,0,0,1,0,0.0,0.22413793103448276,1,0.0,0.0
657,37,163607.18,1,1,0,0,1,3.701138909908595,0.013513513513513514,0,0.0,1.0
604,25,157780.84,2,1,0,0,2,2.7004407661351677,0.22,0,1.0,0.0
519,36,0.0,2,1,0,1,2,0.0,0.2638888888888889,1,0.0,0.0
735,21,178718.19,2,0,0,0,0,7.982410558756532,0.07142857142857142,0,0.0,0.0
664,55,0.0,2,1,0,1,2,0.0,0.15454545454545454,1,0.0,0.0
678,32,0.0,1,1,0,1,1,0.0,0.296875,0,0.0,0.0
757,33,77253.22,1,1,0,0,1,0.39771915896277726,0.16666666666666666,1,0.0,1.0
416,41,122189.66,2,0,0,0,0,1.2429950740880633,0.25609756097560976,0,1.0,0.0
665,34,96645.54,2,0,0,0,0,0.5638114032953774,0.04411764705882353,0,0.0,0.0
777,32,0.0,1,0,1,1,0,0.0,0.078125,0,0.0,0.0
543,36,0.0,2,0,0,1,0,0.0,0.09722222222222222,0,0.0,0.0
506,34,90307.62,1,1,0,0,1,0.567129641113844,0.1323529411764706,0,0.0,0.0
493,46,0.0,2,0,0,1,0,0.0,0.09782608695652174,0,0.0,0.0
652,75,0.0,2,1,0,1,2,0.0,0.14,0,0.0,1.0
750,22,121681.82,1,0,1,0,0,0.9458776852617313,0.1590909090909091,1,0.0,1.0
729,30,0.0,2,0,0,1,0,0.0,0.31666666666666665,1,0.0,0.0
646,46,0.0,3,0,1,1,0,0.0,0.09782608695652174,0,0.0,0.0
635,28,81623.67,2,1,0,0,2,0.520584485111392,0.125,0,1.0,0.0
647,44,0.0,3,1,1,1,3,0.0,0.125,0,0.0,1.0
808,45,118626.55,2,0,0,0,0,0.8062513448674422,0.16666666666666666,1,0.0,0.0
524,36,0.0,2,0,0,1,0,0.0,0.2916666666666667,0,0.0,0.0
769,29,0.0,2,1,0,1,2,0.0,0.29310344827586204,1,0.0,0.0
730,42,0.0,2,1,0,1,2,0.0,0.10714285714285714,1,0.0,1.0
515,35,176273.95,1,1,0,0,1,1.45346077854675,0.3,1,0.0,1.0
773,41,102827.44,1,1,0,0,1,1.591848443214583,0.23170731707317074,1,0.0,1.0
814,29,97086.4,2,1,0,0,2,0.49213205808498933,0.29310344827586204,1,1.0,0.0
710,22,0.0,2,0,0,1,0,0.0,0.38636363636363635,1,0.0,1.0
413,34,0.0,2,0,0,1,0,0.0,0.27941176470588236,1,0.0,0.0
665,40,0.0,1,1,0,1,1,0.0,0.1625,0,0.0,0.0
623,44,0.0,2,0,0,1,0,0.0,0.14772727272727273,0,0.0,0.0
738,31,82674.15,1,0,0,0,0,1.9697584468780405,0.3064516129032258,1,0.0,0.0
528,36,0.0,2,0,0,1,0,0.0,0.20833333333333334,1,0.0,1.0
670,65,0.0,1,1,1,1,1,0.0,0.023076923076923078,0,0.0,1.0
622,46,107073.27,2,1,1,0,2,3.455582740235058,0.09782608695652174,0,0.0,1.0
582,32,88938.62,1,1,0,0,1,8.844747119246822,0.046875,1,1.0,0.0
785,36,99806.85,1,1,0,0,1,2.6991223316220236,0.06944444444444445,0,1.0,0.0
605,33,150092.8,1,0,0,0,0,2.0885733969778104,0.16666666666666666,1,0.0,1.0
479,35,92833.89,1,0,1,0,0,0.9334649293128284,0.2714285714285714,1,1.0,0.0
685,30,90536.81,1,1,0,0,1,1.4351813807267404,0.11666666666666667,1,1.0,0.0
538,39,108055.1,2,0,0,0,0,3.9679079150977556,0.19230769230769232,1,1.0,0.0
562,42,100238.35,1,0,0,0,0,1.1548408548036768,0.05952380952380952,1,0.0,0.0
675,36,106190.55,1,1,0,0,1,4.617920081129552,0.2638888888888889,1,0.0,1.0
721,28,154475.54,2,1,1,0,2,1.524902089732931,0.3392857142857143,1,1.0,0.0
628,30,132351.29,2,1,0,0,2,1.7844284484872819,0.31666666666666665,0,1.0,0.0
668,37,167864.4,1,0,0,0,0,1.4516208115771032,0.17567567567567569,0,1.0,0.0
506,41,0.0,2,0,0,1,0,0.0,0.036585365853658534,0,0.0,0.0
524,31,107818.63,1,0,1,0,0,0.5398316667116448,0.27419354838709675,0,1.0,0.0
699,34,185173.81,2,0,0,0,0,1.5324456856545776,0.1323529411764706,1,1.0,0.0
828,34,129433.34,2,0,0,0,0,3.3942810868447273,0.25,1,0.0,0.0
674,39,120193.42,1,0,0,0,0,1.200350337729366,0.16666666666666666,1,0.0,1.0
656,39,0.0,2,0,0,1,0,0.0,0.16666666666666666,0,0.0,0.0
684,48,126384.42,1,1,0,0,1,0.6378851782230649,0.21875,0,1.0,0.0
625,28,0.0,1,0,0,1,0,0.0,0.125,0,0.0,0.0
432,42,152603.45,1,0,1,0,0,1.3839544179614722,0.2261904761904762,1,0.0,0.0
549,52,0.0,1,1,1,1,1,0.0,0.028846153846153848,0,0.0,0.0
625,56,148507.24,1,0,1,0,0,3.171532008060637,0.008928571428571428,1,1.0,0.0
828,41,0.0,2,0,0,1,0,0.0,0.18292682926829268,0,0.0,0.0
770,24,101827.07,1,0,0,0,0,0.608804755067565,0.3958333333333333,1,0.0,0.0
758,34,0.0,2,1,0,1,2,0.0,0.10294117647058823,0,0.0,0.0
795,33,130862.43,1,1,0,0,1,1.1385657313739508,0.2878787878787879,0,1.0,0.0
687,38,122570.87,1,1,0,0,1,3.4420467016457232,0.25,1,0.0,0.0
686,25,0.0,2,1,0,1,2,0.0,0.06,1,0.0,0.0
789,39,124828.46,2,1,0,0,2,1.0033467811164318,0.19230769230769232,1,1.0,0.0
589,50,144895.05,2,1,0,0,2,4.146703000924669,0.11,0,1.0,0.0
461,34,63663.93,1,1,0,0,1,0.3794369208073557,0.16176470588235295,0,1.0,0.0
637,40,133463.1,1,1,0,0,1,1.432524879693675,0.0625,1,0.0,0.0
584,48,213146.2,1,0,1,0,0,2.8358145212523573,0.052083333333333336,0,0.0,1.0
579,35,129490.36,2,1,1,0,2,15.071336374206659,0.04285714285714286,0,0.0,1.0
756,44,137452.09,1,0,0,0,0,0.7251690232762791,0.23863636363636365,1,1.0,0.0
663,34,0.0,2,1,0,1,2,0.0,0.22058823529411764,1,0.0,0.0
682,43,125851.93,1,1,0,0,1,0.6510054116161069,0.12790697674418605,0,0.0,0.0
793,52,0.0,1,0,1,1,0,0.0,0.04807692307692308,1,0.0,1.0
691,31,40915.55,1,0,1,0,0,0.3241738451674938,0.1774193548387097,0,0.0,0.0
